edad,educ,wage
73,1,2457.02595687408
67,12,2671.850322641555
41,11,2969.5785201531535
38,3,1960.999039531603
75,9,2119.162698488515
44,4,2786.3015762478785
28,14,2907.420398617547
38,9,3112.207721792285
34,2,1168.1629207392753
31,0,2163.698623604375
59,0,3483.487669790396
78,3,1314.0851765042476
64,12,2241.9071278074175
47,3,1453.4128620456102
48,3,1849.5838017065362
32,10,1675.6761513133747
54,13,1730.1083390742979
32,3,2687.581156140411
68,7,2095.8374519491244
43,3,1824.0452548078601
33,13,3223.062038637121
72,3,2353.4835340166223
55,6,3724.221209660276
47,7,2599.1585323102745
50,11,2804.826910002565
41,0,3123.908465480933
70,7,2659.940851720742
78,0,2356.6065598900523
39,2,2419.869260029958
67,6,2457.034597893263
38,14,3433.682488483874
37,7,2853.7456711636864
62,4,2917.136400726474
38,2,2122.13307949528
23,11,2088.9952302929123
44,3,2290.092398710777
46,9,1794.4210497789816
50,14,2321.765145072983
42,6,2892.1358908298043
48,13,2198.897949134444
60,1,2646.1525194372616
23,9,2457.4666046623997
19,2,2398.1926552913346
42,5,2539.47208790937
49,13,2032.0209318275627
69,6,3389.076826467951
40,8,2130.7658813493026
32,8,2805.5109565008897
69,7,2960.8459988603527
66,1,3193.4278970041705
35,14,2270.3900392044643
51,4,2503.3712890026377
65,0,3124.138630737505
27,14,2883.680330882283
55,10,2113.246904163193
72,1,2198.214875754567
25,1,2751.8585553931734
49,11,1891.784644739293
31,1,2111.0230288178773
23,6,3319.0458959985044
24,0,1156.788562097001
60,8,2845.923327016726
42,8,1399.1244566992937
50,9,2020.683540907266
79,6,2313.382752825442
72,4,2233.220834407769
73,9,3021.8250913057855
45,10,1744.7016927919276
44,0,2478.747225960142
78,5,2202.0656096012126
43,14,2461.253301757952
19,9,1721.7052764537139
74,12,2262.7279413267584
61,3,1874.2420613126737
69,11,1765.2194121173002
19,4,1907.2158942403112
74,6,4036.2813263083467
21,8,2712.8862523649946
25,14,2019.7509213995581
54,13,1633.3934882151846
47,7,2060.679713362386
47,11,2655.1547321606417
59,14,3503.8020537817465
44,9,3602.6358464992745
24,9,1867.8241047979202
63,12,2493.3987380579547
75,2,2966.0859972587104
66,10,2849.1898363575765
45,5,3181.3076438136395
54,1,1653.0310770506653
74,11,3023.7916582239486
79,0,2004.3375145009304
46,0,2688.674773028716
57,1,2012.5469743745705
69,0,2845.95484984353
32,11,2008.3365433703075
33,13,1354.1637227553554
24,0,1404.937714276405
22,14,2803.794356027304
59,3,3192.516758847386
37,7,2508.5289602273588
19,13,1906.9236269585745
30,4,3543.310196367627
75,0,1328.4333558257163
76,8,2139.0690256644216
55,5,2912.1768951636423
48,9,2593.384249088691
42,0,2399.6740939228243
54,13,2111.9193609531944
49,3,1788.3176127179622
70,7,2861.8552165521396
49,3,2081.3604830415943
54,7,3005.4852540377633
68,11,1672.1433565492314
31,2,2202.6748878267467
20,4,2290.8320791908122
61,3,2184.075258281064
51,1,1644.5787278910796
36,2,2019.5673858637197
68,6,3191.2651462214812
72,6,3031.2097449090406
23,2,899.5794905954499
27,5,1390.9851059653688
39,12,2779.9176446988013
59,1,2491.1013306467453
70,3,2555.9607156075012
77,5,2984.0949351117633
46,8,3013.612668662933
56,12,1624.9722916283606
58,12,3138.812694942293
